GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,ClientDetailsEntity,506,0,16,0,194,0,117,0,109,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,SystemScope,279,0,46,0,68,0,40,0,17,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,AuthenticationHolderEntity,212,0,14,0,51,0,33,0,26,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,RegisteredClient,524,0,0,0,179,0,117,0,117,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,AuthorizationCodeEntity,43,0,0,0,19,0,10,0,10,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,ClientDetailsEntity.AppType,77,0,2,0,11,0,7,0,6,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,ClientDetailsEntity.SubjectType,77,0,2,0,11,0,7,0,6,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,SavedUserAuthentication,77,0,2,0,28,0,16,0,15,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,DeviceCode,84,0,0,0,36,0,20,0,20,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,ClientDetailsEntity.AuthMethod,110,0,2,0,15,0,7,0,6,0
OpenID Connect Server Library/openid-connect-common,org.mitre.discovery.util,WebfingerURLNormalizer,264,0,48,0,64,0,28,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model.convert,RegisteredClientStringConverter,22,0,6,0,7,0,6,0,3,0
